nom,marque,ref,url,composition,proteines,matieres_grasses,cellulose,cendres,humidite,calcium,phosphore,sodium
"EUKANUBA croquettes pour chien, adulte, grande taille, Poulet 15 kg",,,https://www.maxizoo.fr/p/eukanuba-croquettes-pour-chien-adulte-grande-taille-poulet-15-kg-2249437/,,,,,,,,,
FIT+FUN Croquettes Croc 15 kg,,,https://www.maxizoo.fr/p/fitfun-croquettes-croc-15-kg-1001097001/,,,,,,,,,
Hill's Prescription Diet Derm Complete 12 kg,,,https://www.maxizoo.fr/p/hills-prescription-diet-derm-complete-12-kg-1349301/,,,,,,,,,
Hill's Prescription Diet Gastrointestinal Biome Digestive/Fibre Care 10 kg,,,https://www.maxizoo.fr/p/hills-prescription-diet-gastrointestinal-biome-digestivefibre-care-10-kg-1324244/,,,,,,,,,
"Hill's Prescription Diet i/d Croquettes pour chiens, Adultes, au poulet pour soutenir la digestion 4 kg",,,https://www.maxizoo.fr/p/hills-prescription-diet-id-croquettes-pour-chiens-adultes-au-poulet-pour-soutenir-la-digestion-4-kg-1376318/,,,,,,,,,
"MultiFit Benissimo Croquettes Chien Adulte, avec Bœuf & Légumes 12 kg",,,https://www.maxizoo.fr/p/multifit-benissimo-croquettes-chien-adulte-avec-buf--lgumes-12-kg-1013529/,,,,,,,1.5,,
"MultiFit Croquettes Chien Adulte, Maxi, avec Volaille & Carotte 12 kg",,,https://www.maxizoo.fr/p/multifit-croquettes-chien-adulte-maxi-avec-volaille--carotte-12-kg-1001467007/,,,,,,,,,
"MultiFit Croquettes Chien Junior, avec Volaille & Riz 2,5 kg",,,https://www.maxizoo.fr/p/multifit-croquettes-chien-junior-avec-volaille--riz-25-kg-2961806/,,,,,,,,,
"MultiFit Croquettes Chien Junior, Maxi, avec Volaille & Riz 12 kg",,,https://www.maxizoo.fr/p/multifit-croquettes-chien-junior-maxi-avec-volaille--riz-12-kg-1001467006/,,,,,,,,,
"MultiFit Croquettes pour chien adulte, au volaille & carotte 12 kg",,,https://www.maxizoo.fr/p/multifit-croquettes-pour-chien-adulte-au-volaille--carotte-12-kg-1001467002/,,,,,,,,,
"MultiFit nourriture sèche pour chien senior Poulet et riz 2,5 kg",,,https://www.maxizoo.fr/p/multifit-nourriture-sche-pour-chien-senior-poulet-et-riz-25-kg-2639806/,,,,,,,,,
"MultiFit nourriture sèche pour chien Sensitive Adult avec agneau, volaille & riz 12 kg",,,https://www.maxizoo.fr/p/multifit-nourriture-sche-pour-chien-sensitive-adult-avec-agneau-volaille--riz-12-kg-1001467001/,,,,,,,,,
Orijen Croquettes chien Original Adult 2 kg,,,https://www.maxizoo.fr/p/orijen-croquettes-chien-original-adult-2-kg-1261018/,,,,,,,,,
PREMIERE Croquettes Chien Best Meat Junior Volaille 1 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-chien-best-meat-junior-volaille-1-kg-1083967001/,,,,,,,,,
PREMIERE Croquettes Chien Best Meat Senior Volaille 1 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-chien-best-meat-senior-volaille-1-kg-1226336001/,,,,,,,,,
PREMIERE Croquettes moelleuses Junior Volaille 4 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-moelleuses-junior-volaille-4-kg-1127877/,,,,,,,,,
PREMIERE Croquettes moelleuses pour chien adulte Bœuf 1 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-moelleuses-pour-chien-adulte-buf-1-kg-1296964/,,,,,,,,,
PREMIERE Croquettes pour chien Best Meat Adult Mini Volaille 1 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-pour-chien-best-meat-adult-mini-volaille-1-kg-1226336003/,,,,,,,,,
PREMIERE Croquettes semi-humides pour chien adulte Mini Volaille 1 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-semi-humides-pour-chien-adulte-mini-volaille-1-kg-1255517/,,,,,,,,,
PREMIERE Croquettes Sensitive pour chien adulte Agneau 4 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-sensitive-pour-chien-adulte-agneau-4-kg-1248860001/,,,,,,,,,
PREMIERE Croquettes Sensitive pour chien adulte sans céréales Poulet et pommes de terre 4 kg,,,https://www.maxizoo.fr/p/premiere-croquettes-sensitive-pour-chien-adulte-sans-crales-poulet-et-pommes-de-terre-4-kg-1301661/,,,,,,,,,
"PREMIERE RAW KITCHEN Flocons de millet et d'avoine aux légumes 1,5 kg",,,https://www.maxizoo.fr/p/premiere-raw-kitchen-flocons-de-millet-et-davoine-aux-lgumes-15-kg-1334711/,,,,,,,,,
"PREMIERE RAW KITCHEN Flocons de Pomme de terre aux légumes 1,5 kg",,,https://www.maxizoo.fr/p/premiere-raw-kitchen-flocons-de-pomme-de-terre-aux-lgumes-15-kg-1295545/,,,,,,,,,
"PREMIERE RAW KITCHEN Flocons de Riz aux Légumes 1,5 kg",,,https://www.maxizoo.fr/p/premiere-raw-kitchen-flocons-de-riz-aux-lgumes-15-kg-1295544/,,,,,,,,,
PREMIERE RAW KITCHEN Mélange de fruits et de légumes aux herbes 500 g,,,https://www.maxizoo.fr/p/premiere-raw-kitchen-mlange-de-fruits-et-de-lgumes-aux-herbes-500-g-1295542/,,,,,,,,,
PREMIERE RAW KITCHEN Mélange de Légumes basique 500 g,,,https://www.maxizoo.fr/p/premiere-raw-kitchen-mlange-de-lgumes-basique-500-g-1295543/,,,,,,,,,
PREMIERE RAW KITCHEN Mélange de légumes et fruits 500 g,,,https://www.maxizoo.fr/p/premiere-raw-kitchen-mlange-de-lgumes-et-fruits-500-g-1334260/,,,,,,,,,
PRO PLAN Adulte Medium Sensitive Skin 3 kg,,,https://www.maxizoo.fr/p/pro-plan-adulte-medium-sensitive-skin-3-kg-1206416/,,,,,,,,,
PRO PLAN All Sizes Adult Light/ Sterilised au poulet 7 kg,,,https://www.maxizoo.fr/p/pro-plan-all-sizes-adult-light-sterilised-au-poulet-7-kg-1209738/,,,,,,,,,
PRO PLAN Puppy Medium Healthy Start Poulet 3 kg,,,https://www.maxizoo.fr/p/pro-plan-puppy-medium-healthy-start-poulet-3-kg-1206411/,,,,,,,,,
REAL NATURE Country Scandinavia Saumon et renne 12 kg,,,https://www.maxizoo.fr/p/real-nature-country-scandinavia-saumon-et-renne-12-kg-1237420002/,,,,,,,,,
